ip|organization|hacker|investigate|benign|suspicious
185.180.143.79||t|||
95.64.202.222||||t|
45.33.80.243|||||
185.180.143.71||||t|
123.56.231.14||||t|
96.230.30.58||||t|
205.210.31.142||||t|
63.117.14.69||||t|
185.180.143.48|||t||
165.232.73.237|||t||
109.237.98.226||t|||
148.153.84.151||||t|
61.160.215.50||||t|
177.185.117.136|||||
35.203.210.134|||||
35.195.93.98|||||
172.105.128.13|||||
83.97.73.87|||||
84.54.51.12|||||
51.222.253.3|||||
205.210.31.5|||||
90.151.171.106|||||t
54.36.115.221||t|||
172.104.11.46|||||
34.78.6.216|||||
